City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,urengoy,65.9667,78.3667,-22.19,96,100,6.02,RU,1701992510
83,codrington,-38.2667,141.9667,31.03,34,100,10.59,AU,1701992511
84,utrik,11.2278,169.8474,27.51,78,71,10.42,MH,1701992511
85,saipan,15.1355,145.701,27.39,83,40,6.17,MP,1701992511
86,port alfred,-33.5906,26.891,21.05,90,23,3.29,ZA,1701992511
87,alofi,-19.0595,-169.9187,29.94,70,75,4.12,NU,1701992511
88,nadi,-17.8,177.4167,31.0,62,40,7.2,FJ,1701992511
89,farasan,16.7022,42.1183,27.68,62,34,2.15,SA,1701992511
90,west island,-12.1568,96.8225,25.99,83,100,7.72,CC,1701992512
91,alekseyevka,50.6309,38.6903,-4.63,73,100,5.93,RU,1701992402
92,lihue,21.9789,-159.3672,26.87,74,75,5.14,US,1701992350
93,kidal,18.4411,1.4078,22.32,14,43,1.83,ML,1701992512
94,blackmans bay,-43.0167,147.3167,20.85,57,100,0.45,AU,1701992512
95,bambous,-20.2567,57.4061,24.53,83,68,2.01,MU,1701992512
96,cabo san lucas,22.8909,-109.9124,28.17,41,0,4.12,MX,1701992283
97,mount isa,-20.7333,139.5,30.87,27,2,1.03,AU,1701992513
98,snina,48.9886,22.151,0.2,99,100,0.96,SK,1701992513
99,el calafate,-50.3408,-72.2768,16.61,52,50,3.87,AR,1701992513
100,holualoa,19.6228,-155.9522,26.91,69,40,6.69,US,1701992469
101,acarau,-2.8856,-40.12,26.72,79,39,7.29,BR,1701992513
102,kwadukuza,-29.3282,31.2895,20.94,92,67,2.45,ZA,1701992513
103,la ronge,55.1001,-105.2842,-3.86,86,75,2.06,CA,1701992513
104,vershino-darasunskiy,52.35,115.5167,-24.11,99,99,1.29,RU,1701992514
105,boende,-0.2167,20.8667,21.39,99,59,0.78,CD,1701992514
106,escuinapa,22.85,-105.8,25.55,65,0,2.07,MX,1701992514
107,kapa'a,22.0752,-159.319,27.33,71,75,5.14,US,1701992514
108,twon-brass,4.3151,6.2418,27.5,79,99,6.24,NG,1701992514
109,cannonvale,-20.2833,148.7,27.66,57,95,8.05,AU,1701992514
110,box elder,41.5005,-112.8764,4.59,51,42,6.53,US,1701992515
111,arraial do cabo,-22.9661,-42.0278,28.92,65,0,6.69,BR,1701992515
112,novodvinsk,64.4165,40.8122,-26.23,97,58,1.78,RU,1701992515
113,hermanus,-34.4187,19.2345,19.48,72,46,3.52,ZA,1701992515
114,severo-yeniseyskiy,60.3725,93.0408,-31.9,93,99,1.34,RU,1701992515
115,khandyga,62.6667,135.6,-29.21,94,100,2.22,RU,1701992250
116,inarajan village,13.2736,144.7484,29.66,80,100,8.37,GU,1701992516
117,haiku-pauwela,20.9219,-156.3051,28.01,62,40,4.02,US,1701992516
118,salalah,17.0151,54.0924,22.05,43,0,2.57,OM,1701992516
119,kizel,59.0471,57.6477,-35.98,75,19,0.75,RU,1701992516
120,tsiombe,-25.3,45.4833,22.11,83,61,6.72,MG,1701992516
121,margaret river,-33.95,115.0667,17.14,57,10,5.7,AU,1701992250
122,nemuro,43.3236,145.575,1.31,56,54,11.96,JP,1701992433
123,kerikeri,-35.2268,173.9474,22.73,69,7,0.45,NZ,1701992517
124,kavaratti,10.5669,72.642,28.01,68,80,3.8,IN,1701992271
125,salinopolis,-0.6136,-47.3561,27.58,80,48,5.27,BR,1701992517
126,kencong,-8.2833,113.3667,26.73,83,100,0.4,ID,1701992517
127,happy valley-goose bay,53.3168,-60.3315,-4.83,74,100,8.23,CA,1701992517
128,yichang,30.7144,111.2847,12.47,58,100,1.57,CN,1701992517
129,altamira,-3.2033,-52.2064,25.22,84,65,1.51,BR,1701992434
